form_number,description,forms_received,approvals,denials,pending,pending_over_6_months,source_file,processing_time_days,month,year,seasonal_index,form_avg_processing_time,backlog_ratio
2,6,1696.0,1175.0,204.0,58039.0,48027.0,appropriation_requirement_december_2024 (1).csv,663.0,december,2024,387.0,401.2173913043478,34.200942840306425
2,7,5957.0,4799.0,161.0,45907.0,19049.0,appropriation_requirement_december_2024 (1).csv,273.0,december,2024,387.0,401.2173913043478,7.705102383350117
3,10,12448.0,7449.0,334.0,217205.0,175256.0,appropriation_requirement_december_2024 (1).csv,678.0,december,2024,387.0,692.3478260869565,17.44758615149811
4,0,415609.0,401008.0,26989.0,1190183.0,507833.0,appropriation_requirement_december_2024 (1).csv,90.0,december,2024,387.0,99.0,2.863701547123505
5,1,74910.0,66998.0,5815.0,535601.0,119145.0,appropriation_requirement_december_2024 (1).csv,183.0,december,2024,387.0,187.43478260869566,7.149831132944428
0,8,77084.0,54463.0,7511.0,2060390.0,1623648.0,appropriation_requirement_february_2024.csv,675.0,february,2024,396.0,505.69565217391306,26.728805863657
1,9,11009.0,7479.0,451.0,145256.0,98866.0,appropriation_requirement_february_2024.csv,246.0,february,2024,396.0,295.69565217391306,13.193097184377839
2,2,5293.0,2002.0,189.0,69063.0,39450.0,appropriation_requirement_february_2024.csv,615.0,february,2024,396.0,401.2173913043478,13.045523233849641
2,3,19704.0,20257.0,227.0,171899.0,67208.0,appropriation_requirement_february_2024.csv,135.0,february,2024,396.0,401.2173913043478,8.723623445825933
2,4,13681.0,10428.0,1056.0,206916.0,146219.0,appropriation_requirement_february_2024.csv,324.0,february,2024,396.0,401.2173913043478,15.123227598304341
2,5,36577.0,30621.0,4162.0,519113.0,329640.0,appropriation_requirement_february_2024.csv,396.0,february,2024,396.0,401.2173913043478,14.191945978456996
2,6,3551.0,2317.0,313.0,58240.0,41900.0,appropriation_requirement_february_2024.csv,582.0,february,2024,396.0,401.2173913043478,16.396396396396398
2,7,2577.0,1012.0,164.0,30474.0,16436.0,appropriation_requirement_february_2024.csv,612.0,february,2024,396.0,401.2173913043478,11.82079131109387
3,10,10244.0,9465.0,489.0,250257.0,191055.0,appropriation_requirement_february_2024.csv,801.0,february,2024,396.0,692.3478260869565,24.42723279648609
4,0,407570.0,403851.0,49652.0,1395742.0,610425.0,appropriation_requirement_february_2024.csv,105.0,february,2024,396.0,99.0,3.424537074521985
5,1,81332.0,68971.0,6663.0,426255.0,90043.0,appropriation_requirement_february_2024.csv,189.0,february,2024,396.0,187.43478260869566,5.240861642875585
0,8,84355.0,51220.0,8434.0,2384024.0,1889486.0,appropriation_requirement_february_2025 (1).csv,552.0,february,2025,396.0,505.69565217391306,28.26146332211105
1,9,9035.0,6659.0,533.0,205998.0,150914.0,appropriation_requirement_february_2025 (1).csv,321.0,february,2025,396.0,295.69565217391306,22.797476759628154
2,2,6111.0,9012.0,253.0,73067.0,38546.0,appropriation_requirement_february_2025 (1).csv,348.0,february,2025,396.0,401.2173913043478,11.954679319371728
2,3,24385.0,10984.0,298.0,207564.0,109059.0,appropriation_requirement_february_2025 (1).csv,246.0,february,2025,396.0,401.2173913043478,8.511605019273354
2,4,8484.0,8892.0,1519.0,186955.0,133623.0,appropriation_requirement_february_2025 (1).csv,339.0,february,2025,396.0,401.2173913043478,22.033588685916325
2,5,43347.0,25479.0,5159.0,573826.0,338195.0,appropriation_requirement_february_2025 (1).csv,414.0,february,2025,396.0,401.2173913043478,13.237658023438222
2,6,1686.0,2037.0,269.0,57676.0,47633.0,appropriation_requirement_february_2025 (1).csv,576.0,february,2025,396.0,401.2173913043478,34.18850029638411
2,7,6617.0,6846.0,187.0,44964.0,16780.0,appropriation_requirement_february_2025 (1).csv,252.0,february,2025,396.0,401.2173913043478,6.794197642792384
3,10,15152.0,9705.0,353.0,226832.0,165557.0,appropriation_requirement_february_2025 (1).csv,669.0,february,2025,396.0,692.3478260869565,14.96944499439055
4,0,496399.0,258214.0,27519.0,1420295.0,488237.0,appropriation_requirement_february_2025 (1).csv,123.0,february,2025,396.0,99.0,2.8611905721192588
5,1,79442.0,76002.0,7847.0,531595.0,129981.0,appropriation_requirement_february_2025 (1).csv,192.0,february,2025,396.0,187.43478260869566,6.691527258537568
0,8,74025.0,66643.0,8397.0,2041211.0,1607676.0,appropriation_requirement_january_2024.csv,627.0,january,2024,394.3636363636364,505.69565217391306,27.574244184475724
1,9,10418.0,8422.0,553.0,142134.0,94675.0,appropriation_requirement_january_2024.csv,240.0,january,2024,394.3636363636364,295.69565217391306,13.64180823495537
2,2,5229.0,2751.0,212.0,66118.0,36722.0,appropriation_requirement_january_2024.csv,618.0,january,2024,394.3636363636364,401.2173913043478,12.642065009560229
2,3,26898.0,14660.0,308.0,175083.0,61543.0,appropriation_requirement_january_2024.csv,162.0,january,2024,394.3636363636364,401.2173913043478,6.508903676716606
2,4,11351.0,10645.0,971.0,204629.0,151213.0,appropriation_requirement_january_2024.csv,321.0,january,2024,394.3636363636364,401.2173913043478,18.0258104298802
2,5,34103.0,32159.0,4508.0,516130.0,327850.0,appropriation_requirement_january_2024.csv,378.0,january,2024,394.3636363636364,401.2173913043478,15.134001876612714
2,6,3063.0,2359.0,342.0,58199.0,42830.0,appropriation_requirement_january_2024.csv,537.0,january,2024,394.3636363636364,401.2173913043478,18.994451697127936
2,7,2259.0,1140.0,193.0,29305.0,15762.0,appropriation_requirement_january_2024.csv,570.0,january,2024,394.3636363636364,401.2173913043478,12.966814159292035
3,10,10035.0,8381.0,490.0,249877.0,189971.0,appropriation_requirement_january_2024.csv,795.0,january,2024,394.3636363636364,692.3478260869565,24.898066958947787
4,0,400030.0,382299.0,41406.0,1441943.0,619695.0,appropriation_requirement_january_2024.csv,111.0,january,2024,394.3636363636364,99.0,3.6045781451937473
5,1,78895.0,67730.0,6854.0,422033.0,93179.0,appropriation_requirement_january_2024.csv,198.0,january,2024,394.3636363636364,187.43478260869566,5.349231900223079
0,8,94739.0,49395.0,8332.0,2355271.0,1872469.0,appropriation_requirement_january_2025 (1).csv,522.0,january,2025,394.3636363636364,505.69565217391306,24.860365210048553
1,9,10725.0,6018.0,626.0,204129.0,146727.0,appropriation_requirement_january_2025 (1).csv,363.0,january,2025,394.3636363636364,295.69565217391306,19.031232519112436
2,2,7105.0,8509.0,274.0,76107.0,41168.0,appropriation_requirement_january_2025 (1).csv,357.0,january,2025,394.3636363636364,401.2173913043478,10.710244863495637
2,3,22880.0,10034.0,275.0,194437.0,106558.0,appropriation_requirement_january_2025 (1).csv,249.00000000000003,january,2025,394.3636363636364,401.2173913043478,8.497749224247192
2,4,9334.0,8733.0,1291.0,201863.0,146952.0,appropriation_requirement_january_2025 (1).csv,351.0,january,2025,394.3636363636364,401.2173913043478,21.6243170862346
2,5,46129.0,30699.0,4950.0,560941.0,331678.0,appropriation_requirement_january_2025 (1).csv,366.0,january,2025,394.3636363636364,401.2173913043478,12.16000433557338
2,6,1687.0,1538.0,294.0,45302.0,37447.0,appropriation_requirement_january_2025 (1).csv,654.0,january,2025,394.3636363636364,401.2173913043478,26.837677725118482
2,7,5289.0,5594.0,195.0,45371.0,17968.0,appropriation_requirement_january_2025 (1).csv,273.0,january,2025,394.3636363636364,401.2173913043478,8.576748582230623
3,10,13768.0,8052.0,373.0,222491.0,170974.0,appropriation_requirement_january_2025 (1).csv,684.0,january,2025,394.3636363636364,692.3478260869565,16.15883506427482
4,0,516330.0,443947.0,51664.0,1219526.0,499266.0,appropriation_requirement_january_2025 (1).csv,108.0,january,2025,394.3636363636364,99.0,2.361907381117926
5,1,87174.0,74957.0,6914.0,540820.0,127193.0,appropriation_requirement_january_2025 (1).csv,192.0,january,2025,394.3636363636364,187.43478260869566,6.203842844852309
0,8,75636.0,64230.0,9222.0,2189622.0,1714949.0,appropriation_requirement_july_2024 (1).csv,450.0,july,2024,374.3181818181818,505.69565217391306,28.94908576490342
1,9,12585.0,6904.0,584.0,170959.0,118125.0,appropriation_requirement_july_2024 (1).csv,336.0,july,2024,374.3181818181818,295.69565217391306,13.583267122199269
2,2,5770.0,3342.0,147.0,88614.0,52826.0,appropriation_requirement_july_2024 (1).csv,492.0,july,2024,374.3181818181818,401.2173913043478,15.355051117657252
2,3,12590.0,6920.0,1692.0,156790.0,90723.0,appropriation_requirement_july_2024 (1).csv,213.0,july,2024,374.3181818181818,401.2173913043478,12.452545468985784
2,4,9514.0,16231.0,1460.0,183441.0,139356.0,appropriation_requirement_july_2024 (1).csv,336.0,july,2024,374.3181818181818,401.2173913043478,19.279138202837625
2,5,39280.0,40776.0,4729.0,523124.0,319057.0,appropriation_requirement_july_2024 (1).csv,339.0,july,2024,374.3181818181818,401.2173913043478,13.317481734171738
2,6,2105.0,1950.0,289.0,58157.0,42696.0,appropriation_requirement_july_2024 (1).csv,582.0,july,2024,374.3181818181818,401.2173913043478,27.614909781576447
2,7,4285.0,1013.0,92.0,44405.0,23505.0,appropriation_requirement_july_2024 (1).csv,477.0,july,2024,374.3181818181818,401.2173913043478,10.360475968268782
3,10,4414.0,11243.0,400.0,228941.0,185654.0,appropriation_requirement_july_2024 (1).csv,714.0,july,2024,374.3181818181818,692.3478260869565,51.85526613816535
4,0,416776.0,395766.0,42350.0,1292801.0,538601.0,appropriation_requirement_july_2024 (1).csv,111.0,july,2024,374.3181818181818,99.0,3.1019010166108014
5,1,92498.0,67437.0,6305.0,483611.0,75545.0,appropriation_requirement_july_2024 (1).csv,177.0,july,2024,374.3181818181818,187.43478260869566,5.228283549011341
0,8,81780.0,84470.0,12169.0,2404876.0,1942951.0,appropriation_requirement_july_2025 (1).csv,429.0,july,2025,374.3181818181818,505.69565217391306,29.406292415108645
1,9,10914.0,5784.0,786.0,221992.0,177517.0,appropriation_requirement_july_2025 (1).csv,300.0,july,2025,374.3181818181818,295.69565217391306,20.3382501145213
2,2,6598.0,1330.0,91.0,92479.0,56729.0,appropriation_requirement_july_2025 (1).csv,489.0,july,2025,374.3181818181818,401.2173913043478,14.014093044400667
